,resp_id,ethnic_group,district,lang,edu,work_status
69,RES070,Bafumbira,Western,Luganda,Tertiary,Employed
70,RES071,Luo,Eastern,Luo,None,Self-employed
71,RES072,Basoga,Eastern,Acholi,Primary,Self-employed
72,RES073,Bafumbira,Northern,Luo,Tertiary,Employed
73,RES074,Ganda,Northern,Ateso,Secondary,Unemployed
74,RES075,Luo,Eastern,Luo,None,Employed
75,RES076,Ganda,Western,Luganda,Secondary,Employed
76,RES077,Ganda,Central,Luo,Secondary,Unemployed
77,RES078,Luo,Northern,Acholi,Tertiary,Employed
78,RES079,Bafumbira,Western,Acholi,Primary,Unemployed
79,RES080,Ganda,Western,Luganda,Secondary,Employed
80,RES081,Bafumbira,Eastern,Rutooro,None,Self-employed
81,RES082,Basoga,Western,Luganda,Primary,Self-employed
82,RES083,Banyoro,Western,Rutooro,None,Self-employed
83,RES084,Bafumbira,Central,Kinyarwanda,None,Self-employed
84,RES085,Iteso,Northern,Ateso,Primary,Self-employed
85,RES086,Baganda,Western,Luganda,Primary,Employed
86,RES087,Ganda,Western,Acholi,Secondary,Employed
87,RES088,Baganda,Eastern,Runyoro,Tertiary,Unemployed
88,RES089,Basoga,Northern,Kinyarwanda,Tertiary,Self-employed
89,RES090,Luo,Northern,Rutooro,Secondary,Employed
90,RES091,Iteso,Northern,Acholi,Secondary,Unemployed
91,RES092,Ganda,Western,Runyoro,None,Self-employed
92,RES093,Luo,Western,Kinyarwanda,Primary,Unemployed
93,RES094,Luo,Central,Kinyarwanda,Primary,Self-employed
94,RES095,Basoga,Eastern,Ateso,Secondary,Employed
95,RES096,Bafumbira,Eastern,Acholi,Secondary,Self-employed
96,RES097,Luo,Northern,Luganda,None,Employed
97,RES098,Muganda,Northern,Kinyarwanda,None,Unemployed
98,RES099,Bafumbira,Western,Luganda,None,Employed
99,RES100,Bafumbira,Northern,Rutooro,Secondary,Employed
100,RES101,Acholi,Eastern,Ateso,Secondary,Employed
101,RES102,Baganda,Western,Ateso,Secondary,Unemployed
102,RES103,Banyoro,Central,Acholi,Primary,Unemployed
103,RES104,Acholi,Western,Luo,Secondary,Employed
104,RES105,Basoga,Western,Luganda,None,Employed
105,RES106,Teso,Eastern,Runyoro,None,Unemployed
106,RES107,Bafumbira,Central,Runyoro,Secondary,Unemployed
107,RES108,Acholi,Eastern,Rutooro,Primary,Employed
108,RES109,Iteso,Western,Ateso,Primary,Self-employed
109,RES110,Luo,Eastern,Kinyarwanda,None,Self-employed
110,RES111,Bafumbira,Western,Runyoro,None,Unemployed
111,RES112,Acholi,Central,Runyoro,Tertiary,Self-employed
112,RES113,Basoga,Eastern,Acholi,None,Self-employed
113,RES114,Banyoro,Central,Kinyarwanda,Secondary,Self-employed
114,RES115,Baganda,Eastern,Acholi,Primary,Self-employed
115,RES116,Muganda,Central,Rutooro,Tertiary,Unemployed
116,RES117,Banyoro,Western,Kinyarwanda,Secondary,Unemployed
117,RES118,Banyoro,Northern,Kinyarwanda,None,Employed
118,RES119,Basoga,Northern,Ateso,Secondary,Unemployed
119,RES120,Basoga,Western,Luo,Primary,Self-employed
120,RES121,Ganda,Northern,Luganda,Tertiary,Unemployed
121,RES122,Teso,Northern,Acholi,Tertiary,Self-employed
122,RES123,Iteso,Eastern,Rutooro,Primary,Employed
123,RES124,Muganda,Western,Lusoga,Secondary,Employed
124,RES125,Baganda,Western,Lusoga,Tertiary,Employed
125,RES126,Teso,Central,Acholi,Primary,Self-employed
126,RES127,Muganda,Northern,Luganda,None,Self-employed
127,RES128,Baganda,Northern,Luo,Primary,Self-employed
128,RES129,Banyoro,Western,Runyoro,Secondary,Unemployed
129,RES130,Iteso,Central,Luo,Secondary,Self-employed
130,RES131,Batooro,Central,Lusoga,None,Self-employed
131,RES132,Acholi,Western,Rutooro,None,Employed
132,RES133,Baganda,Central,Ateso,Primary,Self-employed
133,RES134,Aganda,Eastern,Runyoro,None,Employed
134,RES135,Acholi,Northern,Runyoro,None,Unemployed
135,RES136,Batwa,Northern,Acholi,Secondary,Self-employed
136,RES137,Baganda,Central,Luganda,Primary,Unemployed
137,RES138,Luo,Central,Kinyarwanda,Primary,Self-employed
138,RES139,Luo,Eastern,Runyoro,Primary,Self-employed
139,RES140,Teso,Northern,Acholi,Primary,Unemployed
140,RES141,Baganda,Central,Lusoga,Secondary,Unemployed
141,RES142,Teso,Northern,Lusoga,None,Unemployed
142,RES143,Basoga,Central,Kinyarwanda,None,Self-employed
143,RES144,Baganda,Northern,Luo,Secondary,Self-employed
144,RES145,Ganda,Central,Luo,None,Unemployed
145,RES146,Acholi,Western,Kinyarwanda,None,Self-employed
146,RES147,Acholi,Central,Ateso,Tertiary,Unemployed
147,RES148,Banyoro,Eastern,Kinyarwanda,None,Self-employed
148,RES149,Batwa,Northern,Luganda,Primary,Self-employed
149,RES150,Basoga,Eastern,Luo,Primary,Employed
150,RES151,Acholi,Central,Rutooro,Secondary,Self-employed
151,RES152,Baganda,Western,Runyoro,Primary,Unemployed
152,RES153,Acholi,Central,Ateso,Primary,Unemployed
153,RES154,Banyoro,Western,Acholi,Primary,Unemployed
154,RES155,Baganda,Eastern,Lusoga,Primary,Self-employed
155,RES156,Muganda,Eastern,Lusoga,Tertiary,Self-employed
156,RES157,Ganda,Northern,Lusoga,Tertiary,Unemployed
157,RES158,Ganda,Eastern,Runyoro,Secondary,Self-employed
158,RES159,Baganda,Northern,Acholi,Secondary,Employed
159,RES160,Muganda,Western,Kinyarwanda,Tertiary,Employed
160,RES161,Baganda,Northern,Acholi,None,Employed
161,RES162,Acholi,Eastern,Luo,Tertiary,Unemployed
162,RES163,Basoga,Central,Luganda,Primary,Employed
163,RES164,Luo,Western,Rutooro,Secondary,Employed
164,RES165,Acholi,Eastern,Luo,Primary,Unemployed
165,RES166,Iteso,Northern,Runyoro,None,Unemployed
166,RES167,Teso,Central,Kinyarwanda,Primary,Self-employed
167,RES168,Acholi,Northern,Lusoga,Secondary,Employed
168,RES169,Basoga,Northern,Acholi,Tertiary,Unemployed
169,RES170,Iteso,Northern,Lusoga,Secondary,Unemployed
170,RES171,Achol,Northern,Kinyarwanda,Secondary,Self-employed
171,RES172,Aganda,Central,Runyoro,Primary,Employed
172,RES173,Batwa,Western,Kinyarwanda,Secondary,Employed
173,RES174,Muganda,Central,Runyoro,Secondary,Employed
174,RES175,Acholi,Central,Luganda,None,Unemployed
175,RES176,Luo,Central,Acholi,Tertiary,Unemployed
176,RES177,Luo,Eastern,Ateso,Secondary,Employed
177,RES178,Luo,Eastern,Luo,Primary,Self-employed
178,RES179,Teso,Central,Lusoga,Tertiary,Self-employed
179,RES180,Batwa,Eastern,Luo,Tertiary,Self-employed
180,RES181,Luo,Northern,Acholi,Primary,Self-employed
181,RES182,Acholi,Central,Rutooro,Secondary,Self-employed
182,RES183,Achol,Western,Kinyarwanda,Tertiary,Employed
183,RES184,Acholi,Northern,Runyoro,Tertiary,Employed
184,RES185,Muganda,Central,Lusoga,None,Employed
185,RES186,Banyoro,Northern,Kinyarwanda,Secondary,Unemployed
186,RES187,Basoga,Western,Rutooro,Secondary,Employed
187,RES188,Ganda,Western,Runyoro,Tertiary,Employed
188,RES189,Batwa,Eastern,Luo,Tertiary,Employed
189,RES190,Teso,Eastern,Luo,Tertiary,Self-employed
190,RES191,Luo,Northern,Lusoga,Secondary,Unemployed
191,RES192,Achol,Northern,Luganda,Tertiary,Unemployed
192,RES193,Ganda,Western,Luganda,Primary,Unemployed
193,RES194,Bafumbira,Eastern,Luo,Tertiary,Unemployed
194,RES195,Teso,Central,Luganda,Secondary,Employed
195,RES196,Batooro,Central,Kinyarwanda,Primary,Self-employed
196,RES197,Acholi,Eastern,Acholi,None,Unemployed
197,RES198,Bafumbira,Western,Ateso,Secondary,Self-employed
198,RES199,Acholi,Eastern,Luo,Primary,Self-employed
199,RES200,Acholi,Northern,Luganda,None,Employed
200,RES201,Basoga,Central,Rutooro,Primary,Employed
201,RES202,Iteso,Northern,Ateso,Tertiary,Self-employed
202,RES203,Baganda,Central,Luganda,Tertiary,Unemployed
203,RES204,Ganda,Western,Rutooro,Primary,Self-employed
204,RES205,Basoga,Central,Ateso,Primary,Self-employed
205,RES206,Baganda,Central,Runyoro,Secondary,Self-employed
206,RES207,Acholi,Central,Rutooro,None,Unemployed
207,RES208,Banyoro,Western,Luo,Tertiary,Employed
208,RES209,Achol,Western,Lusoga,Secondary,Self-employed
209,RES210,Acholi,Eastern,Kinyarwanda,Tertiary,Employed
210,RES211,Acholi,Central,Luganda,Secondary,Unemployed
211,RES212,Baganda,Central,Rutooro,Primary,Unemployed
212,RES213,Batwa,Central,Runyoro,Tertiary,Unemployed
213,RES214,Batwa,Eastern,Acholi,Primary,Employed
214,RES215,Bafumbira,Northern,Luo,Tertiary,Employed
215,RES216,Acholi,Eastern,Ateso,Secondary,Self-employed
216,RES217,Batwa,Central,Acholi,Primary,Unemployed
217,RES218,Teso,Northern,Luo,Primary,Employed
218,RES219,Banyoro,Northern,Rutooro,Secondary,Self-employed
219,RES220,Baganda,Western,Runyoro,Secondary,Unemployed
220,RES221,Acholi,Eastern,Rutooro,None,Unemployed
221,RES222,Batwa,Northern,Lusoga,Tertiary,Self-employed
222,RES223,Banyoro,Western,Luo,Primary,Self-employed
223,RES224,Banyoro,Western,Luganda,None,Employed
224,RES225,Bafumbira,Central,Lusoga,None,Employed
225,RES226,Batwa,Central,Luganda,Primary,Employed
226,RES227,Acholi,Central,Runyoro,Tertiary,Self-employed
227,RES228,Batwa,Eastern,Acholi,Tertiary,Unemployed
228,RES229,Iteso,Northern,Luganda,Tertiary,Self-employed
229,RES230,Luo,Eastern,Luo,Secondary,Employed
230,RES231,Bafumbira,Western,Acholi,Secondary,Self-employed
231,RES232,Banyoro,Northern,Lusoga,Primary,Employed
232,RES233,Acholi,Western,Luo,Secondary,Self-employed
233,RES234,Teso,Northern,Ateso,Secondary,Self-employed
234,RES235,Bafumbira,Eastern,Luganda,Tertiary,Self-employed
235,RES236,Ganda,Eastern,Runyoro,Primary,Self-employed
236,RES237,Teso,Central,Kinyarwanda,Primary,Self-employed
237,RES238,Basoga,Northern,Kinyarwanda,Primary,Unemployed
238,RES239,Luo,Northern,Kinyarwanda,Secondary,Employed
239,RES240,Bafumbira,Western,Lusoga,Tertiary,Self-employed
240,RES241,Banyoro,Central,Luo,Tertiary,Unemployed
241,RES242,Teso,Northern,Acholi,Primary,Self-employed
242,RES243,Bafumbira,Northern,Luganda,Tertiary,Unemployed
243,RES244,Aganda,Eastern,Lusoga,Secondary,Unemployed
244,RES245,Acholi,Northern,Kinyarwanda,None,Self-employed
245,RES246,Ganda,Western,Luganda,Tertiary,Unemployed
246,RES247,Batwa,Eastern,Kinyarwanda,None,Self-employed
247,RES248,Acholi,Western,Runyoro,None,Self-employed
248,RES249,Acholi,Western,Luo,Primary,Employed
249,RES250,Baganda,Northern,Runyoro,Primary,Self-employed
250,RES251,Teso,Eastern,Luganda,None,Employed
251,RES252,Batwa,Central,Lusoga,None,Employed
252,RES253,Acholi,Western,Luganda,Primary,Employed
253,RES254,Luo,Western,Luo,None,Self-employed
254,RES255,Luo,Eastern,Acholi,Tertiary,Unemployed
255,RES256,Ganda,Central,Rutooro,Primary,Self-employed
256,RES257,Baganda,Western,Luganda,Primary,Employed
257,RES258,Acholi,Eastern,Kinyarwanda,Primary,Employed
258,RES259,Bafumbira,Western,Kinyarwanda,None,Self-employed
259,RES260,Bafumbira,Central,Runyoro,Primary,Self-employed
260,RES261,Ganda,Central,Lusoga,Primary,Unemployed
261,RES262,Banyoro,Northern,Ateso,Primary,Self-employed
262,RES263,Basoga,Eastern,Acholi,Secondary,Employed
263,RES264,Banyoro,Eastern,Acholi,None,Self-employed
264,RES265,Teso,Northern,Rutooro,None,Self-employed
265,RES266,Teso,Eastern,Ateso,Secondary,Unemployed
266,RES267,Baganda,Central,Rutooro,Tertiary,Employed
267,RES268,Bafumbira,Northern,Luo,Tertiary,Unemployed
268,RES269,Baganda,Northern,Luo,Primary,Unemployed
269,RES270,Teso,Central,Runyoro,Primary,Self-employed
270,RES271,Muganda,Eastern,Luo,Tertiary,Unemployed
271,RES272,Bafumbira,Northern,Luganda,Tertiary,Unemployed
272,RES273,Bafumbira,Eastern,Runyoro,Tertiary,Unemployed
273,RES274,Acholi,Western,Luganda,Tertiary,Unemployed
274,RES275,Baganda,Eastern,Lusoga,None,Unemployed
275,RES276,Muganda,Northern,Luo,Secondary,Unemployed
276,RES277,Banyoro,Central,Lusoga,Tertiary,Self-employed
277,RES278,Banyoro,Northern,Luo,Secondary,Unemployed
278,RES279,Acholi,Western,Luganda,Tertiary,Unemployed
279,RES280,Teso,Eastern,Ateso,Secondary,Unemployed
280,RES281,Batooro,Central,Luo,Secondary,Employed
281,RES282,Batooro,Northern,Ateso,Primary,Employed
282,RES283,Luo,Western,Luo,None,Self-employed
283,RES284,Ganda,Central,Luo,Primary,Employed
284,RES285,Acholi,Eastern,Luo,Primary,Self-employed
285,RES286,Luo,Western,Lusoga,Secondary,Self-employed
286,RES287,Acholi,Central,Runyoro,None,Self-employed
287,RES288,Bafumbira,Northern,Luganda,Tertiary,Unemployed
288,RES289,Luo,Western,Kinyarwanda,Secondary,Self-employed
289,RES290,Basoga,Eastern,Ateso,Tertiary,Unemployed
290,RES291,Teso,Western,Luganda,Primary,Employed
291,RES292,Luo,Central,Kinyarwanda,Tertiary,Unemployed
292,RES293,Ganda,Eastern,Kinyarwanda,None,Unemployed
293,RES294,Ganda,Western,Acholi,Primary,Self-employed
294,RES295,Banyoro,Northern,Kinyarwanda,None,Unemployed
295,RES296,Baganda,Eastern,Runyoro,Primary,Self-employed
296,RES297,Iteso,Western,Acholi,Secondary,Employed
297,RES298,Batooro,Northern,Ateso,Primary,Employed
298,RES299,Acholi,Northern,Lusoga,Primary,Self-employed
299,RES300,Teso,Eastern,Acholi,Primary,Employed
